1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 0 TRANS13284 tumblr_n8pz9lt6uQ1th54poo1_400 What does the woman do after put something in mouth ?lower hand	What does the woman do after put something in mouth ?celebrate with team	What does the woman do after put something in mouth ?shake butt	What does the woman do after put something in mouth ?dance from left	What does the woman do after put something in mouth ?kiss the girl
4 2 TRANS35238 tumblr_nihz1vlhvQ1qgnh1wo1_500 What does the singer do after sing a song ?play with dog	What does the singer do after sing a song ?open another door	What does the singer do after sing a song ?shake head vigorously	What does the singer do after sing a song ?close door	What does the singer do after sing a song ?reach with the other hand
2 4 TRANS39571 tumblr_nc3e3globU1snid6qo1_400 What does the woman do before embrace a man ?spin on snow	What does the woman do before embrace a man ?hands up	What does the woman do before embrace a man ?cry	What does the woman do before embrace a man ?shake legs and butt	What does the woman do before embrace a man ?trip
0 4 TRANS8899 tumblr_ncznk6fqQR1tvlziao1_250 What does the woman do before tap mouth with finger ?lean forward	What does the woman do before tap mouth with finger ?skip	What does the woman do before tap mouth with finger ?wink	What does the woman do before tap mouth with finger ?hunch over	What does the woman do before tap mouth with finger ?wave finger
4 3 TRANS29635 tumblr_nmx7mzCAES1rfvkblo1_400 What does the man wearing a jacket do before raise head ?chase a bird	What does the man wearing a jacket do before raise head ?hit other hamster	What does the man wearing a jacket do before raise head ?play the drum	What does the man wearing a jacket do before raise head ?lean with head back	What does the man wearing a jacket do before raise head ?watch other talk
3 0 TRANS24302 tumblr_nbng5xnLx61thjdhso1_1280 What does the man do after stand ?open mouth	What does the man do after stand ?blink	What does the man do after stand ?sing	What does the man do after stand ?shake fists	What does the man do after stand ?spin on hydrant
3 0 TRANS48137 tumblr_nbat0uVzd51tl5sxvo1_250 What does the man who wear a black jacket do before walk away ?raise hand	What does the man who wear a black jacket do before walk away ?smile	What does the man who wear a black jacket do before walk away ?flip on snowboard in air	What does the man who wear a black jacket do before walk away ?touch the mannequin's shoulder	What does the man who wear a black jacket do before walk away ?head towards planet
1 3 TRANS52086 tumblr_n9wkpeXC991re6qqko1_500 What does the man do after raise head ?hand stand	What does the man do after raise head ?grab nose	What does the man do after raise head ?blow out smoke	What does the man do after raise head ?talk to a woman	What does the man do after raise head ?fall into the mud
0 3 TRANS11576 tumblr_ni3bm74PzT1tz9jaqo1_250 What does the man do after talk ?laugh	What does the man do after talk ?drink	What does the man do after talk ?kiss to a notebook	What does the man do after talk ?shift gaze	What does the man do after talk ?pour water on head
4 3 TRANS42066 tumblr_nc2w70pKoD1s44ybio1_400 What does the player do after run ?kick knee up	What does the player do after run ?laugh	What does the player do after run ?kiss girl	What does the player do after run ?high fives another player	What does the player do after run ?grab a guy
3 0 TRANS8985 tumblr_nbepi1b71e1tiq0ddo1_250 What does the man do before put a hand down ?scratch head	What does the man do before put a hand down ?dribble ball	What does the man do before put a hand down ?walk toward couple	What does the man do before put a hand down ?lift hand	What does the man do before put a hand down ?shoot
3 0 TRANS22205 tumblr_na7mrc0HwL1qdauj7o1_400 What does the singer do before walk backwards away from microphone ?sing	What does the singer do before walk backwards away from microphone ?lower both arm	What does the singer do before walk backwards away from microphone ?shift eye away	What does the singer do before walk backwards away from microphone ?point to crowd	What does the singer do before walk backwards away from microphone ?stretch it's legs into the air
3 1 TRANS46459 tumblr_ncmh5cTtJl1t6qjd2o1_400 What does the man do before kick leg ?smile	What does the man do before kick leg ?play air guitar	What does the man do before kick leg ?shake head	What does the man do before kick leg ?drop weight	What does the man do before kick leg ?flip microphone
3 4 TRANS37395 tumblr_nrkc0sh9Q61us2u6eo1_500 What does the woman do before adjust top ?open mouth	What does the woman do before adjust top ?lean towards to a man	What does the woman do before adjust top ?walk away	What does the woman do before adjust top ?touch guy's shoulder	What does the woman do before adjust top ?blow bubble
1 0 TRANS45748 tumblr_nk5q2mZhE21u7s4oro1_400 What does the hand man do after stand ?lay down	What does the hand man do after stand ?kick	What does the hand man do after stand ?run out of the snow	What does the hand man do after stand ?flip	What does the hand man do after stand ?happy
1 3 TRANS58569 tumblr_nc0iy8IQJ61rzjf53o1_500 What does the girl do before get kissed by a man ?stop shake leg	What does the girl do before get kissed by a man ?walk to the center of the camera frame	What does the girl do before get kissed by a man ?run	What does the girl do before get kissed by a man ?touch lips	What does the girl do before get kissed by a man ?catch a frisbee
0 4 TRANS45529 tumblr_nen24nPxii1r9x8ugo1_400 What does the woman do before raise arm ?point arm forward	What does the woman do before raise arm ?open door	What does the woman do before raise arm ?close door	What does the woman do before raise arm ?run off	What does the woman do before raise arm ?shake head
2 0 TRANS29097 tumblr_n94vgu7eef1rraz85o1_400 What does the man do before smile in excitement ?stare ahead	What does the man do before smile in excitement ?raise arm	What does the man do before smile in excitement ?run away	What does the man do before smile in excitement ?spread arm	What does the man do before smile in excitement ?cut vegetables
0 1 TRANS35655 tumblr_noqt1xz8xT1tfrbpqo1_400 What does the reporter do before shake head ?bend body	What does the reporter do before shake head ?talk to a mircophone	What does the reporter do before shake head ?swing at pitch	What does the reporter do before shake head ?lift arm	What does the reporter do before shake head ?slide hand across throat
1 0 TRANS24394 tumblr_ngbvduimWV1u5x3t7o1_400 What does the woman do after dance ?freeze	What does the woman do after dance ?smile	What does the woman do after dance ?sing into microphone	What does the woman do after dance ?walk away	What does the woman do after dance ?front of their faces
2 4 TRANS15845 tumblr_ncfopjN3QK1ts7wbfo1_400 What does the man do before hold arm high ?raise head	What does the man do before hold arm high ?prepare a makeup	What does the man do before hold arm high ?holds hand up	What does the man do before hold arm high ?with nobody	What does the man do before hold arm high ?blink eyes
3 1 TRANS2055 tumblr_ndar2w45c51t7jda2o1_250 What does the woman do before jump in excitement ?grimace	What does the woman do before jump in excitement ?shoot ball into hoop	What does the woman do before jump in excitement ?wrestle another man	What does the woman do before jump in excitement ?drum	What does the woman do before jump in excitement ?sway right
1 0 TRANS28288 tumblr_ngmmfgoexo1u5nlrbo1_250 What does the singer do after look at audience ?start sing	What does the singer do after look at audience ?hug girl	What does the singer do after look at audience ?stare	What does the singer do after look at audience ?pose	What does the singer do after look at audience ?bend halfway down
1 4 TRANS38978 tumblr_n9ek7fl0sD1tr4l02o1_250 What does the woman do after swing a toy horse ?touch nose	What does the woman do after swing a toy horse ?run upstairs	What does the woman do after swing a toy horse ?drop fake eyelash	What does the woman do after swing a toy horse ?end a phone call	What does the woman do after swing a toy horse ?pose
4 0 TRANS38383 tumblr_nbyoe60gY11tgway4o1_400 What does the man do before shake ?touch face	What does the man do before shake ?ride a scooter	What does the man do before shake ?eat	What does the man do before shake ?raise arm	What does the man do before shake ?walk
4 3 TRANS29741 tumblr_ncce6eafkp1qkbofio1_400 What does the left man do before walk away ?fight over prey with another dragon	What does the left man do before walk away ?chase hockey player in white	What does the left man do before walk away ?ride a motocycle	What does the left man do before walk away ?touch man	What does the left man do before walk away ?pose for a picture
3 2 TRANS58171 tumblr_na09f2go3u1qkrfyno1_500 What does the woman do before lean back ?run forward	What does the woman do before lean back ?close a blind	What does the woman do before lean back ?shake head	What does the woman do before lean back ?point	What does the woman do before lean back ?catch a net
