4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
1 2 TRANS7949 tumblr_ndtrdwML301t1o9tno1_250 What does the man on left do before slap own face ?wink eye	What does the man on left do before slap own face ?speak	What does the man on left do before slap own face ?swing at other man	What does the man on left do before slap own face ?hallway	What does the man on left do before slap own face ?erase board
0 4 TRANS19801 tumblr_ne60iilwQt1rkmldwo1_400 What does the woman do before lie down ?scratch body	What does the woman do before lie down ?shot a gun	What does the woman do before lie down ?lower hand	What does the woman do before lie down ?hit a target	What does the woman do before lie down ?embrace another woman
1 3 TRANS58508 tumblr_ngf57i9qu81ra6i3zo1_500 What does the young Asian woman do after listen on mobile phone ?walk away	What does the young Asian woman do after listen on mobile phone ?smile	What does the young Asian woman do after listen on mobile phone ?jump on rope	What does the young Asian woman do after listen on mobile phone ?bring phone down	What does the young Asian woman do after listen on mobile phone ?point
1 0 TRANS22993 tumblr_nf2cavLMyV1sbpxeho1_400 What does the man do before open eyes ?open door	What does the man do before open eyes ?blink eyes	What does the man do before open eyes ?spin on floor	What does the man do before open eyes ?scare	What does the man do before open eyes ?beat hand to the air
3 0 TRANS21199 tumblr_nrbx72GURX1raqy7mo1_400 What does the man do before dance forward ?dance backward	What does the man do before dance forward ?wipe eye	What does the man do before dance forward ?lower arm	What does the man do before dance forward ?fix model's wardrobe	What does the man do before dance forward ?drive
3 1 TRANS23644 tumblr_nb8rmk4FML1tl20oxo1_250 What does the cat do after bend neck and look down at grass ?dance on stage	What does the cat do after bend neck and look down at grass ?lift neck to turn and look up	What does the cat do after bend neck and look down at grass ?talk to man	What does the cat do after bend neck and look down at grass ?play with overhead string	What does the cat do after bend neck and look down at grass ?listen seriously
0 4 TRANS43140 tumblr_nksx8iQFpE1rc9y6jo1_400 What does the girl do after look bore ?point	What does the girl do after look bore ?open mouth	What does the girl do after look bore ?close book	What does the girl do after look bore ?run	What does the girl do after look bore ?shake head
2 1 TRANS40661 tumblr_njw2gle3ek1u8uroco1_400 What does the cat do before shake head ?kiss a girl	What does the cat do before shake head ?raise head up	What does the cat do before shake head ?straight face	What does the cat do before shake head ?smile	What does the cat do before shake head ?flip over the wall
0 2 TRANS26263 tumblr_ncfv2pBTE21qivsbao1_400 What does the woman do before blink eye ?lean to right	What does the woman do before blink eye ?eat food	What does the woman do before blink eye ?wave	What does the woman do before blink eye ?drink water	What does the woman do before blink eye ?fail to mount a ramp onto a truck
2 3 TRANS34352 tumblr_nca11jFXRI1qhb3vzo1_500 What does the drummer do after stare ?disappear	What does the drummer do after stare ?open mouth	What does the drummer do after stare ?hide	What does the drummer do after stare ?beat drum	What does the drummer do after stare ?slide down stairs
1 3 TRANS48224 tumblr_mnfuzbyex91qe2lmeo1_500 What does the man do after walk ?start dance	What does the man do after walk ?run	What does the man do after walk ?talk	What does the man do after walk ?bow	What does the man do after walk ?stop paw
1 2 TRANS41868 tumblr_n9of28KjW41td7sqyo1_250 What does the woman do after take self ?smile	What does the woman do after take self ?kiss man	What does the woman do after take self ?set down phone	What does the woman do after take self ?laugh	What does the woman do after take self ?shake body
3 1 TRANS28109 tumblr_nin6hhwnC81tehwjso1_r1_400 What does the cow do before roll over ?punch boy	What does the cow do before roll over ?lie on back	What does the cow do before roll over ?hit ball	What does the cow do before roll over ?kick opponent	What does the cow do before roll over ?dance
2 1 TRANS38758 tumblr_ni41d3vvJG1reikz1o1_400 What does the man do after spread arm out ?roll in tire	What does the man do after spread arm out ?walk through door	What does the man do after spread arm out ?spin arm	What does the man do after spread arm out ?touch cheek	What does the man do after spread arm out ?bite lip
4 0 TRANS42428 tumblr_n9r5jyrlhR1sfbetvo1_250 What does the man do after look at pool ?pick up bottle	What does the man do after look at pool ?lie in bag	What does the man do after look at pool ?smile	What does the man do after look at pool ?raise arm	What does the man do after look at pool ?kiss woman
1 2 TRANS57283 tumblr_nhbzxyNwEn1rkopy3o1_400 What does the woman do before cock head ?run	What does the woman do before cock head ?point	What does the woman do before cock head ?sing	What does the woman do before cock head ?push ball	What does the woman do before cock head ?grab the woman
3 2 TRANS26135 tumblr_nf97i5e4jP1qd3i5fo1_400 What does the woman do before roll eyes ?snap finger	What does the woman do before roll eyes ?lick leaf	What does the woman do before roll eyes ?raise eyebrows	What does the woman do before roll eyes ?stare forward	What does the woman do before roll eyes ?slide off table
2 3 TRANS503 tumblr_ncc3fjkfjz1twdp7go1_250 What does the boy do before lift it ?neutral expression	What does the boy do before lift it ?smile	What does the boy do before lift it ?yawn	What does the boy do before lift it ?drag the razor along jaw	What does the boy do before lift it ?wink
4 2 TRANS57916 tumblr_npfcbburKv1uqba17o1_500 What does the woman do after dance ?stick tongue	What does the woman do after dance ?smile	What does the woman do after dance ?lead backwards	What does the woman do after dance ?grab boys pant	What does the woman do after dance ?sit on sofa
0 4 TRANS11367 tumblr_nkl5df9NOW1td2qhbo1_250 What does the woman do before flip head and hair back ?play drum with hand	What does the woman do before flip head and hair back ?talk	What does the woman do before flip head and hair back ?hype	What does the woman do before flip head and hair back ?offer rise	What does the woman do before flip head and hair back ?bend over
1 0 TRANS54434 tumblr_ncczjfdwFt1tav0gmo1_500 What does the man do after look calm ?stretch out arms	What does the man do after look calm ?talk	What does the man do after look calm ?smile	What does the man do after look calm ?say something	What does the man do after look calm ?touch hair
1 4 TRANS41284 tumblr_nd2rlmxxPx1tdmffyo1_400 What does the man do after kick ball towards hoop ?drop hand	What does the man do after kick ball towards hoop ?lift left leg	What does the man do after kick ball towards hoop ?smile	What does the man do after kick ball towards hoop ?shake both hands and hips	What does the man do after kick ball towards hoop ?play defense
2 4 TRANS20697 tumblr_nhfi622nVm1u76oc4o1_500 What does the man do before fan himself ?lean forward	What does the man do before fan himself ?on slope	What does the man do before fan himself ?wind hips	What does the man do before fan himself ?play with hair	What does the man do before fan himself ?wipe brow
2 3 TRANS4407 tumblr_nkja8oOu591up5g2do1_250 What does the teen boy do before move hand from face ?clench fist and touch head	What does the teen boy do before move hand from face ?walk toward woman	What does the teen boy do before move hand from face ?laugh	What does the teen boy do before move hand from face ?cover mouth with hand	What does the teen boy do before move hand from face ?nod head
4 2 TRANS36318 tumblr_nhcuhcEsTz1tme5hso1_400 What does the man do after cover ears ?play with ball	What does the man do after cover ears ?talk at camera	What does the man do after cover ears ?lift head	What does the man do after cover ears ?shoot other guy	What does the man do after cover ears ?pretend to drink from mug
4 0 TRANS15932 tumblr_npdhumxlMs1sxvd87o1_250 What does the bear do after sit and watch ?wave at girl	What does the bear do after sit and watch ?chew	What does the bear do after sit and watch ?stare straight ahead	What does the bear do after sit and watch ?cover face with one hand	What does the bear do after sit and watch ?eat a plant
4 2 TRANS38477 tumblr_n8ysmyqhCM1si29axo1_400 What does the man do before wave hand ?shake around	What does the man do before wave hand ?kiss the woman	What does the man do before wave hand ?point to himself	What does the man do before wave hand ?eat	What does the man do before wave hand ?smile
0 1 TRANS28445 tumblr_nkoj58sYJv1s5syl2o1_250 What does the woman do before walk to left ?throw	What does the woman do before walk to left ?part branch	What does the woman do before walk to left ?flip on air	What does the woman do before walk to left ?stare to left	What does the woman do before walk to left ?bounce on toe
1 2 TRANS17105 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do before open mouth ?bare	What do the woman in polka dots do before open mouth ?brush hair	What do the woman in polka dots do before open mouth ?stop on ground	What do the woman in polka dots do before open mouth ?dance	What do the woman in polka dots do before open mouth ?holds up another man
