0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
2 0 TRANS11027 tumblr_njs60h8O8b1rx2wm4o3_400 What does the man do before point to sky ?touch chest	What does the man do before point to sky ?parked on the bridge	What does the man do before point to sky ?protest in a crowd	What does the man do before point to sky ?collapse	What does the man do before point to sky ?wreck
2 4 TRANS36564 tumblr_nhljcoxoJM1slj978o1_400 What does the man do after running ?give the peace sign	What does the man do after running ?talk	What does the man do after running ?ride bicycle	What does the man do after running ?bite lip	What does the man do after running ?falling over
1 2 TRANS46506 tumblr_ncrt5nXvpv1tll0p8o1_400 What do the guys do after laugh ?shake man's hand	What do the guys do after laugh ?smile	What do the guys do after laugh ?play with tongue	What do the guys do after laugh ?drop arm to side	What do the guys do after laugh ?flip over the wall
0 1 TRANS52962 tumblr_ndlpxdOjzF1secmhko1_500 What does the old man do after stand ?shake head	What does the old man do after stand ?close eye and shake head	What does the old man do after stand ?smile	What does the old man do after stand ?stick tongue out	What does the old man do after stand ?talk to woman
0 1 TRANS33373 tumblr_nhq77je8AI1rku1hfo1_400 What does the guy do before keep walk ?lean in	What does the guy do before keep walk ?stop	What does the guy do before keep walk ?bounce	What does the guy do before keep walk ?touch neck	What does the guy do before keep walk ?swing arm
2 3 TRANS57657 tumblr_no7fsb8yg91ushbvro1_500 What does the man do before shake head ?lay	What does the man do before shake head ?smile	What does the man do before shake head ?stick tongue out	What does the man do before shake head ?close eye	What does the man do before shake head ?jump in pain
3 2 TRANS34554 tumblr_nen5b9N0QE1twgvowo1_400 What does the woman do after look surprise ?play with smoke	What does the woman do after look surprise ?open eyes	What does the woman do after look surprise ?shake head	What does the woman do after look surprise ?close eyes	What does the woman do after look surprise ?reach out to the man
0 4 TRANS4826 tumblr_nd2y0o0hsA1tm7c4co1_250 What does the man do after fix coat collar ?inhale smoke	What does the man do after fix coat collar ?run with buck of water	What does the man do after fix coat collar ?lead horse	What does the man do after fix coat collar ?pet puppy	What does the man do after fix coat collar ?gesture with hand
0 4 TRANS57357 tumblr_nfykv0aK2g1u51u27o1_400 What does the person do before look at their hand ?point right	What does the person do before look at their hand ?smile	What does the person do before look at their hand ?jump back into the hamper	What does the person do before look at their hand ?walk towards wall	What does the person do before look at their hand ?bring right arm down
1 3 TRANS10937 tumblr_notz47rcwY1sq24x8o1_400 What does the woman do before spin around ?release it	What does the woman do before spin around ?wipe face	What does the woman do before spin around ?nod head	What does the woman do before spin around ?cross legs	What does the woman do before spin around ?spit water
4 3 TRANS15540 tumblr_n9niilARAY1s4fszpo1_400 What does the man on a skateboard do after ride on the asphalt ?brush leg	What does the man on a skateboard do after ride on the asphalt ?thumb down	What does the man on a skateboard do after ride on the asphalt ?cock head	What does the man on a skateboard do after ride on the asphalt ?fall	What does the man on a skateboard do after ride on the asphalt ?drive on ride
1 4 TRANS15407 tumblr_ne2ecomrOS1u2oapqo1_500 What does the man do before high fives the next guy ?kiss a man	What does the man do before high fives the next guy ?beg for food	What does the man do before high fives the next guy ?nod head	What does the man do before high fives the next guy ?rub cream on forehead	What does the man do before high fives the next guy ?high fives one guy
4 2 TRANS39441 tumblr_nnkpi9gRWK1s778oho1_400 What does the band do before dance ?smile	What does the band do before dance ?ride a skateboard on ground	What does the band do before dance ?remove the coat	What does the band do before dance ?laugh	What does the band do before dance ?swing
2 1 TRANS18192 tumblr_nczmk3kCg81u06q6wo1_400 What does the woman do after fall over ?cover face	What does the woman do after fall over ?laugh	What does the woman do after fall over ?fold panties	What does the woman do after fall over ?cross arm	What does the woman do after fall over ?wave
4 1 TRANS8373 tumblr_npq0ldiScW1u3vl7fo1_400 What does the woman do before hug ?flap wing and look to the right	What does the woman do before hug ?dance	What does the woman do before hug ?tip over box	What does the woman do before hug ?tickle a baby	What does the woman do before hug ?stern
0 3 TRANS32038 tumblr_n932r0pFvS1tuatvvo1_400 What does the woman with a red clothe do after pick up hat ?stay stick at the entrance	What does the woman with a red clothe do after pick up hat ?lean head down	What does the woman with a red clothe do after pick up hat ?eat foods	What does the woman with a red clothe do after pick up hat ?wave	What does the woman with a red clothe do after pick up hat ?lose hat
3 1 TRANS22523 tumblr_njpa4yFBB41s4vjdko1_400 What does the woman do before blink ?lower leg	What does the woman do before blink ?stare straight ahead	What does the woman do before blink ?run	What does the woman do before blink ?raise eyebrows	What does the woman do before blink ?in water
1 2 TRANS38298 tumblr_nl0cd5Bk491tfadmzo1_400 What does the first man do after show ?kick dog	What does the first man do after show ?shake head	What does the first man do after show ?view change to second man	What does the first man do after show ?kiss guy	What does the first man do after show ?cry out in pain
0 1 TRANS30203 tumblr_neq8l3tT9D1qe849no1_400 What does the man do before put hand down ?get hit by orange colored car	What does the man do before put hand down ?gesture with hand	What does the man do before put hand down ?fall down	What does the man do before put hand down ?eat ice cream	What does the man do before put hand down ?run
2 1 TRANS56945 tumblr_naiu2l4iHW1tjlguuo1_500 What does the boy do before turn ?grab a cat's tail	What does the boy do before turn ?talk to a man	What does the boy do before turn ?blow smoke	What does the boy do before turn ?hand by side	What does the boy do before turn ?fall asleep
3 0 TRANS18707 tumblr_nkkexvX98G1rn4kkvo1_400 What does the lady do before smile ?adjust body	What does the lady do before smile ?dance	What does the lady do before smile ?walks in front of camera	What does the lady do before smile ?walk	What does the lady do before smile ?rock side to side
3 0 TRANS32507 tumblr_nq8fk2Lw021u6hup1o1_400 What does the man do before get wash away by wave ?propose	What does the man do before get wash away by wave ?hit ball in water	What does the man do before get wash away by wave ?smile	What does the man do before get wash away by wave ?slide on the grass	What does the man do before get wash away by wave ?inside bag
4 0 TRANS15932 tumblr_npdhumxlMs1sxvd87o1_250 What does the bear do after sit and watch ?wave at girl	What does the bear do after sit and watch ?chew	What does the bear do after sit and watch ?stare straight ahead	What does the bear do after sit and watch ?cover face with one hand	What does the bear do after sit and watch ?eat a plant
2 1 TRANS9399 tumblr_npuxvmFUL31uqie69o1_400 What does the man do before smile ?toast coffee cup	What does the man do before smile ?raise eyebrow	What does the man do before smile ?wink	What does the man do before smile ?dribble ball	What does the man do before smile ?stare at camera
2 0 TRANS57601 tumblr_npdpo2nwNy1uqpl1go1_250 What does the boy do before smile ?stroke hair	What does the boy do before smile ?pick up a guitar	What does the boy do before smile ?look shocked	What does the boy do before smile ?stand on deck	What does the boy do before smile ?do thumb up
1 2 TRANS31624 tumblr_ne30ri29Kw1teqeajo1_500 What do the man with a white pants do after wrap arm around head ?watch other talk	What do the man with a white pants do after wrap arm around head ?dance	What do the man with a white pants do after wrap arm around head ?lay on ground	What do the man with a white pants do after wrap arm around head ?miss high five	What do the man with a white pants do after wrap arm around head ?bounce on trampoline
1 2 TRANS12210 tumblr_nc0l2nbHVE1t3ghero1_250 What do the man with headphones do after sing ?pitch ball at pin	What do the man with headphones do after sing ?blink eyes	What do the man with headphones do after sing ?bear teeth	What do the man with headphones do after sing ?flip surfboard	What do the man with headphones do after sing ?score goal
3 1 TRANS10773 tumblr_n9or58pdDQ1qgcr3qo1_400 What does the man on right do before stick out tongue ?pat the other man on the back	What does the man on right do before stick out tongue ?watch baby	What does the man on right do before stick out tongue ?lean on a child	What does the man on right do before stick out tongue ?cover face	What does the man on right do before stick out tongue ?lift finger up
0 2 TRANS9757 tumblr_n9o3ecQ2qW1tnenrmo1_250 What does the lady do before look up ?smile	What does the lady do before look up ?talk	What does the lady do before look up ?lower hand	What does the lady do before look up ?hop on rock	What does the lady do before look up ?wink
